Имя документа,Автор,Название работы,Год издания,Объем (в словах)
Bakhtin_AvtoriGeroj,М.М. Бахтин,"Автор и герой в эстетической деятельности","1920–1924",64314
Bakhtin_FormyVremeni,М.М. Бахтин,"Формы времени и хронотопа в романе","1937–1938",48828
Bakhtin_FransuaRable,М.М. Бахтин,"Творчество Франсуа Рабле и народная культура средневековья и Ренессанса","1940; 1970",134670
Bakhtin_KFilosofii,М.М. Бахтин,"К философии поступка","1918–1924",17683
Bakhtin_ProblemySoderzhanija,М.М. Бахтин,"Проблема содержания, материала и формы в словесном художественном творчестве",1924,17020
Bakhtin_ProblemyTvorchestva,М.М. Бахтин,"Проблемы творчества Достоевского",1929,50906
Belyj_Tragedija,А. Белый,"Трагедия творчества. Достоевский и Толстой",1911,8741
Belyj_Vyacheslav,А. Белый,"Вячеслав Иванов",1918,12263
Berdyaev_Mirosozertsanie,Н.А. Бердяев,"Миросозерцание Достоевского",1921,47002
Berdyaev_Konstantin,Н.А. Бердяев,"Константин Леонтьев",1926,54045
BogorazTan_Rasprostranenie,В.Г. Тан-Богораз,"Распространение культуры на земле",1928,84553
BogorazTan_Hristianstvo,В.Г. Тан-Богораз,"Христианство в свете этнографии",1928,45506
Bulanzhe_Zhizn,П.А. Буланже,"Жизнь и учение Будды",1911,34945
Bulanzhe_Konfucij,П.А. Буланже,"Жизнь и учение Конфуция",1903,17617
Voloshinov_Freidism,В.Н. Волошинов,"Фрейдизм. Критический очерк",1927,28830
Voloshinov_MarksizmChast1,В.Н. Волошинов,"Марксизм и философия языка. Основные проблемы социологического метода в науке о языке",1929,9340
Voloshinov_MarksizmChast2,В.Н. Волошинов,"Марксизм и философия языка. Основные проблемы социологического метода в науке о языке",1929,17082
Voloshinov_MarksizmChast3,В.Н. Волошинов,"Марксизм и философия языка. Основные проблемы социологического метода в науке о языке",1929,10471
Voloshinov_Stilistika,В.Н. Волошинов,"Стилистика художественной речи",1930,18136
Gershenzon_Tolstoj,М.О. Гершензон,"Л. Н. Толстой в 1855–1862 гг.",1919,10556
Gershenzon_Turgenev,М.О. Гершензон,"Мечта и мысль И. С. Тургенева",1919,28008
Ivanov_Dostoevskij,Вяч. Иванов,"Достоевский и роман-трагедия",1911,13807
Ivanov_Predchuvstviya,Вяч. Иванов,"Предчувствия и предвестия; Две стихии в современном символизме","1906; 1908",13545
Levidov_Puteshestvie,М.Ю. Левидов,"Путешествие в некоторые отдаленные страны мысли и чувства Джонатана Свифта, сначала исследователя, а потом воина в нескольких сражениях",1939,108909
Levidov_Steyniz,М.Ю. Левидов,"Вильгельм Стейниц",1936,27844
Medvedev_ATolstoj,П.Н. Медведев,"Алексей Н. Толстой. Критический очерк",1929,8676
Medvedev_Tvorcheskij,П.Н. Медведев,"Творческий путь Ал. Блока",1922,9821
Medvedev_Dramy,П.Н. Медведев,"Драмы и поэмы Ал. Блока. Из истории их создания",1928,25820
Medvedev_Formalism,П.Н. Медведев,"Формализм и формалисты",1934,9005
Medvedev_FormalnyjMetod,П.Н. Медведев,"Формальный метод в литературоведении. Критическое введение в социологическую поэтику",1928,49886
Medvedev_VLaboratorii,П.Н. Медведев,"В лаборатории писателя",1933,18592
Pumpyanskij_Mednyj,Л.В. Пумпянский,"«Медный всадник» и поэтическая традиция XVIII века",1939,9325
Pumpyanskij_Dostoevskij,Л.В. Пумпянский,"Достоевский и античность; Достоевский как трагический поэт; Краткий доклад на диспуте о Достоевском","1922; 1919; 1919",9887
Pumpyanskij_Lermontov,Л.В. Пумпянский,"Стиховая речь Лермонтова",1941,12004
Tynyanov_Dostoevski,Ю.Н. Тынянов,"Достоевский и Гоголь (к теории пародии); Пушкин и Тютчев","1921; 1926",11325
Tynyanov_ArhaistyPushkin,Ю.Н. Тынянов,"Архаисты и Пушкин",1926,16877
Freidenberg_Lekcii,О.М. Фрейденберг,"Введение в теорию античного фольклора. Лекции","1941–1943",73595
Freidenberg_Poetika,О.М. Фрейденберг,"Поэтика сюжета и жанра",1927,96036
Eikhenbaum_KakSdelana,Б.М. Эйхенбаум,"Как сделана «Шинель» Гоголя",1919,9056
Eikhenbaum_OGenri,Б.М. Эйхенбаум,"О. Генри и теория новеллы",1925,9361
